iter	Passed	Remaining
818	11334	1190
819	11347	1176
820	11356	1161
821	11368	1147
822	11381	1133
823	11394	1120
824	11407	1106
825	11420	1092
826	11433	1078
827	11446	1064
828	11459	1050
829	11472	1036
830	11485	1022
831	11498	1008
832	11512	995
833	11526	981
834	11540	967
835	11553	953
836	11567	939
837	11579	925
838	11593	912
839	11608	898
840	11621	884
841	11634	870
842	11648	856
843	11663	843
844	11677	829
845	11690	815
846	11703	801
847	11717	787
848	11732	773
849	11750	760
850	11765	746
851	11778	732
852	11791	718
853	11804	704
854	11817	691
855	11831	677
856	11844	663
857	11857	649
858	11871	635
859	11883	621
860	11896	607
861	11909	594
862	11922	580
863	11935	566
864	11948	552
865	11961	538
866	11974	524
867	11986	510
868	11999	497
869	12013	483
870	12026	469
871	12038	455
872	12051	441
873	12065	427
874	12077	414
875	12090	400
876	12103	386
877	12116	372
878	12129	358
879	12141	344
880	12154	331
881	12168	317
882	12181	303
883	12194	289
884	12207	275
885	12220	262
886	12233	248
887	12245	234
888	12259	220
889	12272	206
890	12284	193
891	12297	179
892	12309	165
893	12322	151
894	12335	137
895	12347	124
896	12362	110
897	12375	96
898	12387	82
899	12400	68
900	12412	55
901	12425	41
902	12438	27
903	12450	13
904	12464	0
